NumeroProcurado,ComparacoesLista,ComparacoesBST
1582,4757,15
17904,488,19
16823,7834,21
5169,1189,14
21210,8317,14
3949,7598,12
26042,1713,14
26807,8469,17
12621,7448,25
25300,9073,15
14830,7053,20
1065,5745,19
26306,8576,12
1714,1668,19
20855,6341,12
27781,2440,21
15512,6858,13
29836,8790,16
16566,4457,28
8846,4539,20
6720,1172,16
27424,1393,23
9878,7887,18
18464,9689,14
6468,8110,12
23374,9170,16
11854,8284,19
13761,1565,20
25867,8633,10
30525,744,20
551,4423,12
18995,2025,9
14412,4737,17
8604,3181,22
8895,4462,20
19231,9184,12
20881,4523,14
22874,2470,20
21442,3365,17
29820,4229,19
24703,7037,14
20727,27,14
3305,7410,16
589,4022,13
28469,1439,15
2103,438,13
22840,4906,20
16202,3558,27
11629,4006,19
11522,9788,14
12706,4602,24
31356,1773,18
3373,6443,15
10623,5949,16
31003,3686,16
14245,7697,16
10508,7342,16
3840,4188,14
2959,5778,12
23728,7681,17
22086,4701,15
10660,8045,14
23431,1266,20
23269,3302,19
3123,5811,14
26847,7506,17
28199,6546,12
24161,7609,17
30597,4577,13
12494,9316,18
9909,5141,20
18093,6834,21
29636,9357,13
17172,227,23
30987,9407,12
23416,7558,17
16083,766,25
1880,3101,20
8501,257,15
22444,2143,20
16899,3587,24
2409,1758,16
7634,1928,17
29028,9321,11
30229,7351,16
10353,9404,12
21529,9829,12
21845,7569,22
13577,1845,20
29654,3119,18
16891,6811,20
19030,108,16
23217,9980,8
1236,515,18
3454,4203,11
15118,5337,19
13468,5346,15
17352,4239,23
26576,175,16
1057,4470,19
13599,9032,16
52,8290,10
26087,713,16
13826,8772,13
26151,4289,17
28190,2912,16
5229,6826,13
26319,8506,14
15608,6370,18
20140,2016,14
18537,6050,21
8778,6266,25
3040,8730,13
27976,516,24
21271,9723,12
12851,8055,19
14383,4783,16
15577,901,18
26309,7300,14
8860,2001,21
1687,6412,16
11351,8933,21
17924,4287,17
16620,247,25
9582,3773,15
28683,9282,9
28097,7818,12
24300,4490,23
23269,3302,19
8966,9771,14
18198,8606,19
32561,1809,17
5018,4647,19
28471,6453,13
31590,7305,15
15634,4641,23
13276,6001,16
25895,6315,13
24226,6156,19
19404,5817,13
13521,7045,14
10955,5384,17
21002,9493,15
30184,3343,20
24520,8994,16
29471,6869,20
14050,1211,25
32761,5645,16
7795,1371,19
26480,7121,16
14285,2331,20
14055,5802,23
145,5658,12
8211,1284,17
28351,9973,6
14948,9064,14
20912,7128,10
19485,9618,8
4572,7478,11
15082,7537,16
14224,2232,20
8788,1023,24
4784,7797,14
7481,4625,21
16602,7159,24
2446,8408,15
886,8461,15
12164,2226,17
7292,2324,19
13469,4284,17
27589,2749,23
3959,1403,17
3366,559,18
15727,4477,25
25894,4114,14
21937,8439,18
19980,2691,16
29308,10,22
13714,9551,13
18856,5492,16
1370,5956,13
28817,7816,11
29324,7474,17
13960,1426,24
2043,2328,14
27053,7588,17
7349,1111,20
6645,7721,14
17418,1766,20
10627,8794,13
25855,1033,17
28608,598,14
4808,47,20
4837,3299,15
22930,2573,19
23975,1950,19
32197,8511,12
14077,6289,20
16562,2973,29
28180,5888,13
10391,914,21
21678,1195,20
18288,4662,18
6452,1208,20
4076,887,17
1297,3639,15
18850,3152,18
359,4264,15
9849,1798,21
15723,6890,23
7766,4001,16
21002,9493,15
24875,9121,13
25915,5810,11
28079,3297,15
5661,675,22
3972,1757,14
6468,8110,12
21881,1036,21
24343,1408,20
13088,9454,13
11158,5459,21
15065,954,21
29323,7442,18
77,20,19
13662,1359,22
14139,7694,16
3598,6848,16
8478,7927,13
28987,3609,15
9243,3185,21
7664,7634,17
28448,2020,16
7152,2575,22
6160,4349,19
27781,2440,21
17128,3749,24
4146,7517,12
31409,4473,16
30877,5644,15
19583,3651,11
8087,5615,17
4543,2055,13
17164,3575,22
20771,427,12
13407,9766,14
4300,6688,11
30318,8532,14
23289,1874,19
27506,874,20
18656,8555,10
24603,6583,15
28900,7096,12
19518,8565,9
17195,2192,26
27398,6716,21
20947,782,12
6744,9418,11
17567,2320,23
19517,5344,10
6221,5304,17
21429,1416,11
16857,4993,20
691,2656,9
10587,1249,17
8841,3409,21
3773,1435,16
21573,804,18
27684,3842,21
29394,2136,21
29509,1187,15
25090,2282,21
929,5409,17
9579,3743,16
1306,2843,14
6473,4930,14
30502,8409,17
8137,8653,15
11488,7015,21
17362,9325,18
17072,3198,22
25436,3360,14
19463,6878,12
18143,965,20
22400,4413,21
8770,4599,26
19399,3253,14
18209,9180,18
32542,8022,14
31310,1149,19
21766,8315,14
17830,7493,20
21839,5050,25
15336,9365,12
5867,5076,18
24556,9954,9
29863,2338,17
4530,5368,15
15912,7175,18
32548,499,17
6875,7605,14
32724,2752,16
489,4424,11
701,7066,8
850,6824,12
6831,5522,15
22600,9891,12
5399,3710,18
16065,7812,21
20637,8974,11
5967,8269,18
32737,5031,16
23939,7145,17
7515,1432,17
5172,843,15
31639,771,18
6456,4565,14
13917,4194,24
21496,8959,13
2106,1546,12
11840,8323,18
21609,4143,18
22101,6407,16
15092,7383,18
4322,7780,12
30163,9113,15
19176,900,16
26042,1713,14
7493,3310,16
26512,6813,14
13248,8299,15
22435,2525,19
6053,2151,19
9796,8764,15
18431,7166,18
14092,3924,19
32512,8545,14
26207,7426,16
19577,6665,10
2435,9636,9
17264,2355,25
26324,4147,16
32111,1388,17
29897,2504,22
12341,2188,19
21230,5945,18
2175,7995,14
18558,3479,22
29085,4151,11
12832,7214,20
20354,9384,13
22715,1566,23
28019,8093,16
31483,8217,15
4402,7260,14
3322,2062,17
12970,318,24
13903,6459,20
19482,712,12
5880,9460,14
15781,8621,20
26054,8328,13
13146,398,18
725,8074,6
19765,1871,16
20069,7109,10
19315,2111,18
1818,8272,13
9349,5507,20
20591,7077,15
23163,1027,21
6643,5387,16
28660,3039,12
29407,4050,22
4887,4699,14
24242,6250,19
30503,4926,19
29967,4443,20
30730,279,18
17737,5067,16
32324,9819,9
21768,7666,13
9043,8150,19
1724,2945,18
1821,4637,15
9419,4339,20
30531,8705,16
32763,5378,16
18947,9537,12
24772,1973,13
32461,6311,17
29338,7906,16
25667,7016,11
29186,4417,11
7585,9000,13
29338,7906,16
31969,7366,12
3378,7795,13
21511,1041,17
8269,6567,17
1195,6310,17
9121,7092,21
32384,778,21
5005,442,23
17357,8767,20
13515,2707,15
24028,3473,15
21268,2884,14
16191,4552,25
2297,1160,14
23901,4037,16
9299,6,20
22772,8890,17
4934,7095,16
32280,5202,16
3040,8730,13
23313,9546,13
26807,8469,17
3263,2976,16
31563,4139,19
29975,7444,18
21526,4829,15
939,7515,15
30095,8341,12
1624,2599,15
15319,9039,13
21914,6801,20
9623,1278,16
16957,5443,25
3832,3902,15
20158,6525,12
14509,8448,17
24877,9379,12
2474,1238,18
29015,8118,12
30565,11,21
1359,8491,11
14539,1680,21
7820,2072,17
3832,3902,15
28936,2849,13
31885,9782,8
20003,8318,14
31837,2336,15
20771,427,12
18647,7349,17
20253,196,13
32372,2385,19
31459,5309,16
883,3254,19
6399,2240,21
5078,4722,14
29627,6095,15
6157,4507,17
563,3226,14
8438,2469,15
6881,369,15
3154,5611,13
6576,8128,16
21732,3172,18
11183,190,23
6160,4349,19
21777,1915,22
13634,8435,18
6459,2962,15
24768,5508,12
8720,9647,17
16522,7798,21
7954,6300,18
24317,8367,15
29396,8406,19
21019,1216,19
25807,9729,8
22417,7918,16
11382,1034,27
14077,6289,20
15167,5239,17
7472,1651,22
32451,181,16
4405,9486,11
4435,7005,15
469,2495,14
15668,5832,22
12762,9230,18
16991,8219,21
11657,3561,18
23215,4830,18
22673,6872,21
13387,5150,17
15756,8701,19
26393,5551,15
23569,2606,14
22150,3600,17
2006,8360,13
21764,1347,19
18145,3160,20
17692,8970,16
19096,2582,12
3798,9133,12
30943,7073,14
3296,9097,13
12480,3240,22
20968,2868,10
31006,3315,16
19461,2161,13
5560,8167,12
14056,33,24
18505,130,22
16768,7573,21
2175,7995,14
30787,9147,11
6645,7721,14
3429,2307,12
1846,4984,17
11460,1954,22
5809,5495,19
26341,3824,17
15352,4845,16
23874,29,18
5969,3016,21
1767,8823,11
22176,636,22
17409,2196,23
12648,9859,13
32753,7713,15
1557,5465,13
19285,9741,8
24402,9671,14
12308,9139,17
17932,1828,18
30111,280,20
6837,8534,12
17580,7227,20
21695,1541,17
26881,475,18
1821,4637,15
30634,777,18
24200,1514,19
13052,3099,21
3105,3385,17
16173,3422,26
29323,7442,18
30216,2943,20
11966,7962,19
1004,7014,16
568,3432,13
3173,1508,13
15985,8149,22
26850,6357,20
2939,9824,10
9822,7312,15
31470,7243,15
11029,2467,21
29230,2129,23
21590,9433,13
21753,8171,16
15167,5239,17
16935,1030,20
5844,5569,17
9690,4361,13
25269,2262,19
3245,4837,14
16755,1192,21
28433,5211,11
16151,7241,25
16735,5420,20
12609,5953,28
18554,6200,20
25070,496,20
21174,3935,16
4094,6880,13
3598,6848,16
5534,521,19
